PRODUCTNO,MD$STATUS,VERSION,MD$DESC,MD$USER,MD$CDATE,MD$MDATE,APP_DATE
V960660,CRT,wip,북미용 인터페이스 개발(인증비),2032082,20250425101842,20250425101842,
V960661,RLS,22,25년도 KC인증 정기심사,2034956,20260803105039,20260803105039,20260803111218
V960680,CRT,wip,북미 수출형 MR 및 MRL 시스템 경쟁력 강화_인증비,2034956,20250808111912,20250808111912,
V960681,RLS,0,동기기 적용 고속 도어장치 개발 (인증비),2034905,20250903084722,20250903084722,20260623091154
V960682,CRT,wip,해외 MOD용 200V 제어반 개발(인증비),2036797,20250929171450,20250929171450,
V960720,RLS,11,KC인증 사후 자재처리,2031353,20251229091641,20251229091641,20251229095152
V960780,CRT,wip,신규 승강장문 조립체 개발 (인증비),2032961,20260113090317,20260113090317,
V960781,RLS,2,국내 5차 방화도어 KC인증,2031353,20260108104847,20260108104847,20260127095455
V960782,RLS,20,26년도 KC인증 정기심사,2037980,20260915133037,20260915133037,20260915135320
V960802,CRT,wip,ELD 배터리 수명 향상 및 모니터링 시스템 개발(인증비),2023768,20260429120330,20260429120330,
V960820,CRT,wip,북미향 EL 시스템 확장 개발(인증검사비),2028336,20260401170519,20260401170519,
V960824,RLS,3,26년 러시아 인증,2036592,20260914172351,20260914172351,20260914173218
V960841,CRT,wip,NEX MRL 용량 확장 개발(1800kg)(인증비),2028336,20260522172707,20260522172707,
V960842,CRT,wip,중국 ODM 도입 개발(인증검사비),2028336,20260701155517,20260701155517,
V960860,CRT,wip,대용량 화물용 제어반 개발(인증비),2033828,20260804091050,20260804091050,
